ulasan,stopword_removed,processed_text,stemming_data
"Game MOBA tapi rasanya kayak main tebak-tebakan lag. Koneksi internet stabil, aplikasi lain lancar, tapi Mobile Legends malah sering lag, delay parah, dan patah-patah di momen penting. Lagi team fight tiba-tiba freeze, pas jalan sudah mati. Matchmaking juga makin aneh, ketemu lawan nggak seimbang. Update gede tapi optimasi makin buruk, bukan makin halus. Tolong fokus perbaiki server dan performa, jangan cuma event dan skin terus.",game moba rasanya kayak main tebak tebakan lag koneksi internet stabil aplikasi lancar mobile legends malah sering lag delay parah patah patah momen penting team fight tiba tiba freeze pas jalan mati matchmaking makin aneh ketemu lawan seimbang update gede optimasi makin buruk bukan makin halus fokus perbaiki server performa jangan cuma event skin terus,game moba rasa kayak main tebak tebak lag koneksi internet stabil aplikasi lancar mobile legends malah sering lag delay parah patah patah momen penting team fight tiba tiba freeze pas jalan mati matchmaking makin aneh ketemu lawan imbang update gede optimasi makin buruk bukan makin halus fokus baik server performa jangan cuma event skin terus,game moba rasa kayak main tebak tebak lag koneksi internet stabil aplikasi lancar mobile legends malah sering lag delay parah patah patah momen penting team fight tiba tiba freeze pas jalan mati matchmaking makin aneh ketemu lawan imbang update gede optimasi makin buruk bukan makin halus fokus baik server performa jangan cuma event skin terus
"lag, makin pembaruan makin aneh, jaringan lancar tapi malah ngelag². mana pas main malah ter-force close, masuk lagi bukanya dalam pertandingan malah ke lobi, ga bisa dimainin karna katanya sedang dalam room tapi buka event, profile dan pengaturan aman aman aja.",lag makin pembaruan makin aneh jaringan lancar malah ngelag mana pas main malah ter force close masuk bukanya pertandingan malah lobi ga dimainin karna katanya sedang room buka event profile pengaturan aman aman aja,lag makin baru makin aneh jaring lancar malah ngelag mana pas main malah ter force close masuk buka tanding malah lobi ga dimainin karna kata sedang room buka event profile atur aman aman aja,lag makin baru makin aneh jaring lancar malah ngelag mana pas main malah ter force close masuk buka tanding malah lobi ga dimainin karna kata sedang room buka event profile atur aman aman aja
"Game jelek nggak usah di download nggak rekomendasi game nya, waktu main rank komposisi tim tidak seimbang, selalu bermain dengan tim yang tidak sesuai dengan rank dan server nya sangat JELEK waktu main sinyal bagus tetapi sinyal lag Tolong di perbaiki kalau tidak ini dapat memperburuk pemain baru saya akan pensiun jika saran dan kritik itu tidak di benarkan",game jelek usah download rekomendasi game nya waktu main rank komposisi tim seimbang selalu bermain tim sesuai rank server nya sangat jelek waktu main sinyal bagus sinyal lag perbaiki kalau tidak ini memperburuk pemain baru akan pensiun saran kritik tidak di benarkan,game jelek usah download rekomendasi game nya waktu main rank komposisi tim imbang selalu main tim sesuai rank server nya sangat jelek waktu main sinyal bagus sinyal lag baik kalau tidak ini buruk main baru akan pensiun saran kritik tidak di benar,game jelek usah download rekomendasi game nya waktu main rank komposisi tim imbang selalu main tim sesuai rank server nya sangat jelek waktu main sinyal bagus sinyal lag baik kalau tidak ini buruk main baru akan pensiun saran kritik tidak di benar
"jujur jadi kecewa akhir akhir Ini, Jaringan Jadi Jelek ketika main rank, tidak wajar untuk masalah di jaringan, menguntungkan pihak lawan, padahal asalnya pingnya normal tiba² ngeleg aprah, perbaiki lagi di masalah jaringan, saya coba pake jaringan wifi dan seluler sama saja.",jujur jadi kecewa akhir akhir jaringan jadi jelek main rank wajar masalah jaringan menguntungkan pihak lawan padahal asalnya pingnya normal tiba ngeleg aprah perbaiki di masalah jaringan coba pake jaringan wifi seluler sama,jujur jadi kecewa akhir akhir jaring jadi jelek main rank wajar masalah jaring untung pihak lawan padahal asal pingnya normal tiba ngeleg aprah baik di masalah jaring coba pake jaring wifi seluler sama,jujur jadi kecewa akhir akhir jaring jadi jelek main rank wajar masalah jaring untung pihak lawan padahal asal pingnya normal tiba ngeleg aprah baik di masalah jaring coba pake jaring wifi seluler sama
"Tolong MOONTON diperbaiki apa bug atau gimana disaat fase drafpick hero stelah team maupun lawan selesai memilih Hero masing"" terjadi lag yg sangat menganggu sehingga kita tidak bisa Menganti item ataupun spel dllsbgainya . padahal sebelum""nya aman"" ajah .🤦",moonton diperbaiki apa bug gimana disaat fase drafpick hero stelah team maupun lawan selesai memilih hero masing terjadi lag yg sangat menganggu kita bisa menganti item ataupun spel dllsbgainya padahal nya aman ajah,moonton baik apa bug gimana saat fase drafpick hero stelah team maupun lawan selesai pilih hero masing jadi lag yg sangat menganggu kita bisa anti item atau spel dllsbgainya padahal nya aman ajah,moonton baik apa bug gimana saat fase drafpick hero stelah team maupun lawan selesai pilih hero masing jadi lag yg sangat menganggu kita bisa anti item atau spel dllsbgainya padahal nya aman ajah
"game makin lama makin berat, jaringan bagus tapi delay, spawn detik 5 bisa jalan detik 15,pas di loading scren stuck 30 ga di bener in, lag pas mau masuk juga ga di benerin, malah fokus ke skin bukan fokus benerin bug, temen temen gw pada pensi gara gara itu, dan gw juga pensi mending main hok",game makin lama makin berat jaringan bagus delay spawn detik jalan detik pas loading scren stuck ga bener in lag pas mau masuk ga benerin malah fokus skin bukan fokus benerin bug temen temen gw pensi gara gara dan gw pensi mending main hok,game makin lama makin berat jaring bagus delay spawn detik jalan detik pas loading scren stuck ga bener in lag pas mau masuk ga benerin malah fokus skin bukan fokus benerin bug temen temen gw pensi gara gara dan gw pensi mending main hok,game makin lama makin berat jaring bagus delay spawn detik jalan detik pas loading scren stuck ga bener in lag pas mau masuk ga benerin malah fokus skin bukan fokus benerin bug temen temen gw pensi gara gara dan gw pensi mending main hok
"ga tau mau bilang apa ntah makin baik atau makin busuk nih game, 1.pembagian tim g seimbang/kemenangan match diatur sama sistem bukan dari skill pemain , 2.nge-lag banget ( jalan ga ada musuh Aman tapi pas war jalan sendiri trs tiba² sinyal ilang ) padahal jaringan bagus ram hp pun ram masih luas banget tapi kenapa sampah banget gitu dan ke 3.kenapa suka banget ngasih bot di setiap match biar apa? biar ga gampang naik rank player²nya? hayoo lah buat game yg seru jangan kaya gitu sistem nya.",ga tau mau bilang apa ntah makin baik makin busuk nih game pembagian tim g seimbang kemenangan match diatur sama sistem bukan skill pemain nge lag banget jalan ga musuh aman pas war jalan sendiri trs tiba sinyal ilang padahal jaringan bagus ram hp ram luas banget sampah banget gitu ke kenapa suka banget ngasih bot setiap match biar apa biar ga gampang naik rank player nya hayoo lah buat game yg seru jangan kaya gitu sistem nya,ga tau mau bilang apa ntah makin baik makin busuk nih game bagi tim g imbang menang match atur sama sistem bukan skill main nge lag banget jalan ga musuh aman pas war jalan sendiri trs tiba sinyal ilang padahal jaring bagus ram hp ram luas banget sampah banget gitu ke kenapa suka banget ngasih bot tiap match biar apa biar ga gampang naik rank player nya hayoo lah buat game yg seru jangan kaya gitu sistem nya,ga tau mau bilang apa ntah makin baik makin busuk nih game bagi tim g imbang menang match atur sama sistem bukan skill main nge lag banget jalan ga musuh aman pas war jalan sendiri trs tiba sinyal ilang padahal jaring bagus ram hp ram luas banget sampah banget gitu ke kenapa suka banget ngasih bot tiap match biar apa biar ga gampang naik rank player nya hayoo lah buat game yg seru jangan kaya gitu sistem nya
"GAMEE RUSAK!!! setiap kali patch baru (season) kenapa selaku bikin jaringannya jelek, padahal jaringan saya kencang tapi kenapa bisa sampai bikin lag begitu, kita mau push aja rank aja susah, masalahnya bukan di saya saja tapi ke orang lain juga ngaruh",gamee rusak kali patch baru season selaku bikin jaringannya jelek padahal jaringan kencang kenapa sampai bikin lag kita mau push aja rank aja susah masalahnya bukan saya tapi orang juga ngaruh,gamee rusak kali patch baru season selaku bikin jaring jelek padahal jaring kencang kenapa sampai bikin lag kita mau push aja rank aja susah masalah bukan saya tapi orang juga ngaruh,gamee rusak kali patch baru season selaku bikin jaring jelek padahal jaring kencang kenapa sampai bikin lag kita mau push aja rank aja susah masalah bukan saya tapi orang juga ngaruh
"Agak laen bah, awak barusan maen, masa goldlane musuh bisa pake dua spell di mode rank, dan itu saya sudah ngekill musuh nya 1 di early game, tiba tiba error, pas balik in game musuh nya tidak ada mati, agak laen kali bah mobile legend sekarang, padahal saya baru kembali bermain mobile legend tiba tiba dapat kejadian begitu",laen bah awak barusan maen masa goldlane musuh pake spell mode rank itu sudah ngekill musuh nya early game tiba tiba error pas balik in game musuh nya ada mati laen kali bah mobile legend sekarang padahal baru bermain mobile legend tiba tiba kejadian,laen bah awak barusan maen masa goldlane musuh pake spell mode rank itu sudah ngekill musuh nya early game tiba tiba error pas balik in game musuh nya ada mati laen kali bah mobile legend sekarang padahal baru main mobile legend tiba tiba jadi,laen bah awak barusan maen masa goldlane musuh pake spell mode rank itu sudah ngekill musuh nya early game tiba tiba error pas balik in game musuh nya ada mati laen kali bah mobile legend sekarang padahal baru main mobile legend tiba tiba jadi
"apalah banyak bug gajelas padahal hp gua storage juga masih byk, spek nya jg bgs hp adek gua yg udah burik aja ga bug kek gitu, bug nya tuh kaya game nya ga work, ga respond, masuk lobby gabisa, diundang jg gbs, intinya gbs ngapa ngapain, gua udah coba uninstall trs download lg lebih dari 3 kali jg tetep gitu gitu aja, gaada kemajuan ni game kirain bakal lag dan bug pas awal season doang, taunya sampe skrg jg masih bug ngeselin, benerin nih game lo, pas lagi match juga suka ngefreeze sndri.",apalah banyak bug gajelas padahal hp gua storage byk spek nya jg bgs hp adek gua yg udah burik aja ga bug kek gitu bug nya tuh kaya game nya ga work ga respond masuk lobby gabisa diundang jg gbs intinya gbs ngapa ngapain gua udah coba uninstall trs download lg lebih kali jg tetep gitu gitu aja gaada kemajuan ni game kirain bakal lag bug pas awal season doang taunya sampe skrg jg masih bug ngeselin benerin nih game lo pas match suka ngefreeze sndri,apa banyak bug gajelas padahal hp gua storage byk spek nya jg bgs hp adek gua yg udah burik aja ga bug kek gitu bug nya tuh kaya game nya ga work ga respond masuk lobby gabisa undang jg gbs inti gbs ngapa ngapain gua udah coba uninstall trs download lg lebih kali jg tetep gitu gitu aja gaada maju ni game kirain bakal lag bug pas awal season doang tau sampe skrg jg masih bug ngeselin benerin nih game lo pas match suka ngefreeze sndri,apa banyak bug gajelas padahal hp gua storage byk spek nya jg bgs hp adek gua yg udah burik aja ga bug kek gitu bug nya tuh kaya game nya ga work ga respond masuk lobby gabisa undang jg gbs inti gbs ngapa ngapain gua udah coba uninstall trs download lg lebih kali jg tetep gitu gitu aja gaada maju ni game kirain bakal lag bug pas awal season doang tau sampe skrg jg masih bug ngeselin benerin nih game lo pas match suka ngefreeze sndri
"game nya bagus banyak skin gratis udah oke si tapi ada kekurangan:1:masa jaringan hp bagus tapi di game ngelag parah sampai merah lagi ujung ujung nya tinggal level,gold 2:bug nya banyak banget terkadang pas main keluar tiba tiba,suaranya tiba tiba kaya suara on mic dll 3:apalah darksystem hapus aja masa mau mythic tiba tiba turun samapai epic/legend5 kan gak enak tapi makasih uda ngasih banyak skin gratis semoga di baca dan di perbaiki ☺️",game nya bagus banyak skin gratis udah oke si ada kekurangan masa jaringan hp bagus game ngelag parah merah ujung ujung nya tinggal level gold bug nya banyak banget terkadang pas main keluar tiba tiba suaranya tiba tiba kaya suara on mic apalah darksystem hapus aja masa mau mythic tiba tiba turun samapai epic legend kan gak enak makasih uda ngasih banyak skin gratis semoga di baca di perbaiki,game nya bagus banyak skin gratis udah oke si ada kurang masa jaring hp bagus game ngelag parah merah ujung ujung nya tinggal level gold bug nya banyak banget terkadang pas main keluar tiba tiba suara tiba tiba kaya suara on mic apa darksystem hapus aja masa mau mythic tiba tiba turun samapai epic legend kan gak enak makasih uda ngasih banyak skin gratis moga di baca di baik,game nya bagus banyak skin gratis udah oke si ada kurang masa jaring hp bagus game ngelag parah merah ujung ujung nya tinggal level gold bug nya banyak banget terkadang pas main keluar tiba tiba suara tiba tiba kaya suara on mic apa darksystem hapus aja masa mau mythic tiba tiba turun samapai epic legend kan gak enak makasih uda ngasih banyak skin gratis moga di baca di baik
"apalah banyak bug gajelas padahal hp gua storage juga masih byk, spek nya jg bgs hp adek gua yg udah burik aja ga bug kek gitu, bug nya tuh kaya game nya ga work, ga respond, masuk lobby gabisa, diundang jg gbs, intinya gbs ngapa ngapain, gua udah coba uninstall trs download lg lebih dari 3 kali jg tetep gitu gitu aja, gaada kemajuan ni game kirain bakal lag dan bug pas awal season doang, taunya sampe skrg jg masih bug ngeselin, benerin nih game lo, pas lagi match juga suka ngefreeze sndri.",apalah banyak bug gajelas padahal hp gua storage byk spek nya jg bgs hp adek gua yg udah burik aja ga bug kek gitu bug nya tuh kaya game nya ga work ga respond masuk lobby gabisa diundang jg gbs intinya gbs ngapa ngapain gua udah coba uninstall trs download lg lebih kali jg tetep gitu gitu aja gaada kemajuan ni game kirain bakal lag bug pas awal season doang taunya sampe skrg jg masih bug ngeselin benerin nih game lo pas match suka ngefreeze sndri,apa banyak bug gajelas padahal hp gua storage byk spek nya jg bgs hp adek gua yg udah burik aja ga bug kek gitu bug nya tuh kaya game nya ga work ga respond masuk lobby gabisa undang jg gbs inti gbs ngapa ngapain gua udah coba uninstall trs download lg lebih kali jg tetep gitu gitu aja gaada maju ni game kirain bakal lag bug pas awal season doang tau sampe skrg jg masih bug ngeselin benerin nih game lo pas match suka ngefreeze sndri,apa banyak bug gajelas padahal hp gua storage byk spek nya jg bgs hp adek gua yg udah burik aja ga bug kek gitu bug nya tuh kaya game nya ga work ga respond masuk lobby gabisa undang jg gbs inti gbs ngapa ngapain gua udah coba uninstall trs download lg lebih kali jg tetep gitu gitu aja gaada maju ni game kirain bakal lag bug pas awal season doang tau sampe skrg jg masih bug ngeselin benerin nih game lo pas match suka ngefreeze sndri
"Kesal karena lag terus setiap buka aplikasi ini apalagi pas main.. padahal untuk buka aplikasi game berat lainnya sinyal lancar"" saja. Setelah itu pertandingan dianggap AFK, padahal aplikasi tersebut penyebabnya, bukan karena ingin meninggalkan pertandingan",kesal lag terus buka aplikasi apalagi pas main padahal buka aplikasi game berat lainnya sinyal lancar setelah pertandingan dianggap afk padahal aplikasi tersebut penyebabnya bukan ingin meninggalkan pertandingan,kesal lag terus buka aplikasi apalagi pas main padahal buka aplikasi game berat lain sinyal lancar telah tanding anggap afk padahal aplikasi sebut sebab bukan ingin tinggal tanding,kesal lag terus buka aplikasi apalagi pas main padahal buka aplikasi game berat lain sinyal lancar telah tanding anggap afk padahal aplikasi sebut sebab bukan ingin tinggal tanding
"tolong moonton, saya udah sering reset jaringan, tapi ini masalah muncul terus dari dulu, selalu aja ngelag, apalagi pas2an ketika mau war, itu ngelagnya walaupun sebentar tapi gaenak lah moonton, wifi lancar2 aja padahal, kasih solusi lah, apalagi setiap update atau season, itu pasti ngelag banget. tolong moonton yang terhormat yang teradil, fix lah masalah ini",moonton udah sering reset jaringan masalah muncul terus dulu selalu aja ngelag pas an mau war ngelagnya walaupun sebentar gaenak lah moonton wifi lancar aja padahal kasih solusi lah setiap update season pasti ngelag banget moonton terhormat teradil fix lah masalah ini,moonton udah sering reset jaring masalah muncul terus dulu selalu aja ngelag pas an mau war ngelagnya walaupun sebentar gaenak lah moonton wifi lancar aja padahal kasih solusi lah tiap update season pasti ngelag banget moonton hormat adil fix lah masalah ini,moonton udah sering reset jaring masalah muncul terus dulu selalu aja ngelag pas an mau war ngelagnya walaupun sebentar gaenak lah moonton wifi lancar aja padahal kasih solusi lah tiap update season pasti ngelag banget moonton hormat adil fix lah masalah ini
"server eror, jaringan ngelag, orang-orang pada hilang bintang gara-gara updetan dan patch baru yang kompensasinya cuman, debu ungu sama box-box sampah. tolonglah kasih lah yang lebih berharga dan berguna. Satu lagi, matchmakingnya perbaikilah moontod, kasi tim yang sama-sama paham main.",server eror jaringan ngelag orang orang hilang bintang gara gara updetan patch baru kompensasinya cuman debu ungu sama box box sampah tolonglah kasih lah lebih berharga berguna satu matchmakingnya perbaikilah moontod kasi tim sama sama paham main,server eror jaring ngelag orang orang hilang bintang gara gara updetan patch baru kompensasi cuman debu ungu sama box box sampah tolong kasih lah lebih harga guna satu matchmakingnya baik moontod kasi tim sama sama paham main,server eror jaring ngelag orang orang hilang bintang gara gara updetan patch baru kompensasi cuman debu ungu sama box box sampah tolong kasih lah lebih harga guna satu matchmakingnya baik moontod kasi tim sama sama paham main
