text,sentiment
game rusakkkkkkkkkkkk main solo trol mulu moonton player skil nya kurang sebut dark sistem ga ngerti apa apa contoh nya roam jarang rotasi gold lane sibuk mondar mandir baik matchmaking player nya terus mid lane main satu lane doang ga pernah nama mau rotasi gold lane exp lane terus jungle nya di baik mana on point retri mana ga on point retri terus khusus player drak sistem sesamaplayer draksiatem,Positif
baik bug match making detik terkahir lag bgt jadi gabisa ganti set emblem skin trus makin update bug mya makin banyak padahal device penuh simpan masih banyak pas loading screen stuck sambung ulang jadi masuk battlefield tinggal wave minion,Negatif
tolong data hero sekin harus masuk unduh pertama kali playstore masak baru download download mana gak di henti download nya ukur download nya gak ngotak gb di kompres data yg di download biar ram bawah rasa main ml ada lag,Negatif
game siksa pleyer pleyer lama harga pleyer baru orang yg beri menang yg banyak lalu pleyer baru sebut jadi lama pleyer lama sebut kalah tubi tubi saya sangat suka gem,Netral
ml pas akhir seson ngeleg jadi baik dulu geme nya player ga susah main gw main reng wifi bagu sinyal nya merah gimanatuh gw ga tahu gw tahu satu baik geme mu player senang banyak event gratis monton sayang,Positif
game buriq hapus aja play store banyak kalah bayangin aja pagi sampe sore main cuman mentok bintang situ doang mana banyak top up game nyesel main top up udh banyak lapor main baik sistem monton cuman cuek penting cuan hapus aja play store ulas banyak bintang pas sepi baru nyesel,Netral
aku main kemarin tiba tiba leg semua gamenya bagus sih tolong lah masalah jaring baik leg nya gk kayak dulu bagus dapet tim gk imbang woi plis lah jan kasih tim yg aneh lah entah juli roam fanny roam ngaco bet nih kalau ngasih tim,Positif
game nya bagus strategi tepat alam main mlbb sangat senang soal play in game biar bintang bicara banyak dark sistem ngetroll ya game cocok main bulan puasa,Positif
makin lama makin aneh aja padahal sinyal bagus buka apk yng lancar gk ngelag ko hubung terus udah ganti jaring juga sama aja hubung baik lah masalah jaring nya biar player rasa nyaman pas main yng baik bug nya aja masalah jaring nya gk baik parah,Netral
semua sistem rubah kerja sama tim tekan kan ada ruang solo player se pro apa sistem emblem hanya cocok guna beberapa hero seluruh item survive dpt laku cary game solo rubah efek hasclaw kapasitas hp hero terlalu rendah base damage semua hero sangat besar sistem bot terlalu banyak bantu player capai rank harus dia capai game seperti game ofline turun tiap update,Netral
game aneh tadi sinyal lag mulu padahal main game sama bukan sosmed lancar jaya bikin ga nyaman main kalau sinyal lag terus teh benerin dulu tuh sinyal lag lag teh bukan kikir mulu,Negatif
skin skin nya bagus trus banyak giveaway skin gratis tidak saran download orang mudah stres loostreak nya ngak maen maen jam pagi main epic iv bintang nambah satu sekian,Positif
sistem matchmaking rusak banyak match imbang hanya game yg skill gap nya beda jauh lai jauh banget bikin emosi lu main sekarang malah parah matchmaking nya ttep gua mainin soal game moba yg mekanik gua tau ini,Negatif
woi bener aja ngasih tim nya masak lawan ama tim kuat lawan minimal imbang kuat utama pas solo rank dapat tim ga bener musuh jago bener utama pas mau naik rank ada aja coba lama lama gua hapus ni game bikin emosi aja,Netral
gamenya bagus kenapa saat ganti desain pas main tbtb ngelag parah padahal jaring ku aman aja bahkan ingat afk gara lag parah tadi aku udh usaha buat gerah buat hindar afk ttp aja afk lagi jangan nambah in memo pls gw lebih suka ml yng dlu dripada skrng jadi mohon baik y,Negatif
ijin pamit game belah kabar magic weel udah bisa make coa game selain egois malah jadi kikir lebih baik pensi pindah game belah udh matching sesuai skin byk gratis aneh moga ranting makin turun udh kecewa sama pikir mooton lihat player nya malah fokus egois sekian sy pamit,Netral
ku main mlbb rising open mode lain tolong lah jaring nya tingkatin jadi lancar lah saat late game jaring nya nge lag sampe dekat sama wifinya aja nge lag tolong lah jaring nya tingkatin dikit napa jangan nge lag pas main late game,Negatif
game babi match sesuai rank rankku epic kok dapat tim yg ad elit nya anehhh tiap mau naik rank selalu ad yg ganggu tim gilir dilaporin malah gk alas nya deteksi streesss pokok nya mainin game anj satu ni,Netral
bagus segi main hero skin nya keren keren kenapa main kaya gimana gitu rank nya tinggi tinggi jadi main kaya bocil rank udah mityik jadi susah mau naik honor kenapa lag mulu kata salah serper bintang turun,Positif
monton benerin dong musuh kalo epic legen susah banget jadi lalu tiap aku victory sering ingat afk padahal aku mati mati main aku rasa lebih bagus baik musuh aja soal main gak imbang,Positif
lucu gameplay nya sekarang langgar lebih rata main lebih masih main rank gk efek jera klo gitu atur gak jls gak imbang tim jg bisa mi sistem mana player pro sm mula buat baik dark sistem,Positif
udahh bagus sihh kalo ngasih tim yg benr lahh masaa ada menit udah ngasih makan musuh trus kalo ngasih tim it jangan yg dark sistem lahh sini udh jaga turret biar ga bolong tim nya malah mundur semua padahal musuh mati semua malah gamau push alhasil jadi kalah udah mau mhytic malah kalah semua kalah sampe legend bintang hdehh laen kali kalo kasih tim yg rata min tengah dark sistem tengah jago jd biar ga kalah mulu,Positif
dulu stabilitas jaring selalu buruk ga ubah sama sekali lah perhati soal jaring main pubg lancar aja knapa gilir pengin main ml di loby aja jaring merah makin aneh ml,Negatif
mobile legends sekarang kalau udah update gak masuk pas loading nya tambah maju malah tambah gak jelas buat war aja ngelag terus gimana nih maaf aku kasih bintang update buka bagus mlah jelek utama buat sinyal nya bagus tetep lag,Negatif
gajelas koneksi stabil lag mulu koneksi merah lag lag gan padahal hp gua ram udah maen lama solo rank dapet nya zonk mulu dongo semua dapet tim nya,Negatif
season baru bikin gameplay jadi lag pas mau push awal season orang lag semua gk gerak wifi udh bagus masih lag suka mencet mencet sendiri alhasil gw cap afk padahal gw gabisa gerak segera baik,Netral
tan imbang dua tim sangat beda aku kali aku main rekan tim ku highest rank cuma honor aku ex imo musuh ex imortal matching sangat adil capek bgt ngurusin org kek gitu kalau kamu bilang aku ws engga aku engga ws biasa aku dgn teman ku main sangat buruk aku dah capek dapet tim ini,Negatif
lama lama ga ngotak hampir kali main late game selau los koneksi awal awal ga kendala tiap late game selalu los koneksi emang sistem gitu apa gimana,Netral
moonton jaring nya gak stabil terus kenapa tiap abis draft pick trus mau masuk in game nyapasti kadang selalu lot patah gak sampe masuk game gelag,Negatif
game nya seru udah lama main ni game tapi yng kurang nya sedikit sinyal si padahal sinyal hijau entah bisa ga gerak hero nya mohon baik itu aj si semangatt,Netral
punya saran jadi kalo main solo ketemu nya solo semua musuh hingga tim sendiri nah jadi main duo ketemu nya trio pula balik semua tim khusus player solo temu orang main solo entah team musuh biar adil sejahtera jangan campur kaya satu team solo solo trio segitu saya harap baca paham moga laksana thank you,Netral
ketika game bagus lancar ketika loby sedang draf leg parah karna masalah jaring padahal jaring udah bagus ms cuma loby pas draf aja yg leg kalo udah main malah lancar baik,Positif
plis la moonton kasih hukum berat orang troll untung tik lawan juga imbang tim lawan tanding bisa tim lawan lebih unggul tim harus imbang,Netral
lah baru aja update udah gak login moonton makin rusak aja game update aja tetep sama gmna sih jaring bagus game juga aman kenapa mobile legend gak ini,Netral
tiba tiba game nya bug update tepat nya tadi jam sekarang tiba tiba aja ngebug padahal buat lain nya tapi waktu main bug apa update padahal lama main gak kayak gin tiba tiba aja,Negatif
semenjak update makin masalah ni mobile legend padahal main rank tiba tiba lag aplikasi padahal aman jaring bagus delay pas in game ngelag gara gara server tuduh afk makin lama makin rusak ni server mobile legend,Negatif
pink main bagus pas masuk game main malah putus kayak gak sinyal kan babi koneksi apa kek gitu kont kalo emang koneksi sinyal hp kendala ya gak usah kasih notif sinyal bagus lah kalo ujung nya main kayak gak punya sinyal baik noh grafik berapa koneksi malah kayak game burik grafik rendh g emang gak semua ngalamin kalo terus san gak bakal yang mau pake ini game mending pindah game dari ngabisin duit beli skin,Positif
moonton kenapa kan kalo mau milih lane minimal terus pilih exp sama jungler ken main exp eh pas masuk draft pick malah sering pilih jadi jungler padahal presentase saya main exp lebih tinggi jungler,Netral
mohon baik servernya telah update sinyal nya leg terus padahal udah pakai wifi tim nya banyak suka troll,Positif
selalu gk pernah ubah sistem nya awal nya enak jaring tiba gk jaring patah memang gk pernah ubah aneh ml sekarang lucu player biasa bikin rusak sistem,Negatif
matchmaking makin parah sering temu main imbang main asal main jadi tidak adil tidak nyaman baik sistem,Positif
game aneh rusak lobby mau mencet apa mesti muncul analis data terus dah tunggu sampe menit analis data terusss bahkan mau main gak gak mau masuk loby,Negatif
moonton game seru ada buat nya seru banyak player guna cheat upa ganggu sinyal jadi pilih hero selesai tempur mulai sinyal tiba tiba merah nya seperti karena saat lag jadi sudah laku tanding sinyal hijau moonton aku percaya pada anda selesai masalah,Negatif
game rusak sengaja gua kasih bintang biar naik atas awal season lag bug udah gua gacha habis habis gak aspirant terus tim gak main mending gua main game belah aja skin nya murah tebal efek,Negatif
bagus si game nya ada bug yg hapus baru main ml nya masalah maaf blablabla hubung kan kustomer serfis padahal game jalan lancar heran nya ngebak bisa main harus hapus di lu ml nya jadi ya monton baik bug,Netral
eh main ml level gak ngaruh pintar gak ngaruh yg ngaruh adminya licik picik waktu mau menang kadang detikanya di lambat yg musuhitudi atur menang karna apa lg gk pernah top up wahparah menang satu kali kalah kali,Netral
kalian selalu baik beri skin beli dapat uang nyaman main player main selalu dapat team feeder sesuai dengan role masing masing meski beri feedback lalu hasil tanding hasil sama bahkan player kait tidak beri hukum mungkin sebab game sepi minat sama rata mampu main sesuai tiap match sia sia rasa main,Positif
baik game kalian update an baru rusak sistem lag parah awal game hingga jadi kalah tim yg rugi bintang ikut turun catat afk sistem,Negatif
padahal main glory kenapa kalo tim selalu aneh kalo main solo musuh jago semua ga adil banget kadang roam gamau rotasi hyper gak mau set up gold nya mati mulu,Netral
gabisa login padahal jaring lancar pas mau main rank gabisa masuk loby pas main ga gerak game apa coba gajelas baik lah moonton leg parah bikin kecewa aja para main baik yg bener,Positif
game buruk matchmaking adil tiba tiba crash padahal jaring lancar lancar terlalu sering update tidak jelas contoh buat hero ganti season makin berat karna banyak update tidak terlalu guna hanya game adil dan kompetitif mau tim lawan di tim sendiri moga selesai masalah,Negatif
game rusaaak parah aku tiba tiba suka putus koneksi abis team nyalahin aku padahal aku ngelag udah gitu kompensasi cuma lindung bintang kalo gak hitung afk jadi alas aku henti main sejak ini,Negatif
apa moonton telah update kemarin susah sekali masuk gamenya loading walpaper sora mulu lah aku stuck situ udah aku baik konten hapus cache restart hape bersihin ram semua ku coba gak masuk mlbb nya pihak moonton gimana solusi ku kasih bintang dulu lah kalau di fix ku kasih bintang nya terimakasih,Netral
kok deteksi afk padahal sinyal jlek saat mau login game lama bnget malah deteksi afk kenapa ni tanggung jawab kredit kor ku kena nuduh prilaku afk,Netral
game nya mudah kalah terus udah kalah hampir kali bikin mood orang rusak kali bikin game benar dikit bukan bikin orang hibur main game nya bikin naik darah sama stress kalo gak niat buat hibur gak usah buat game moonton,Negatif
sedang team fight tiba alami crash bug dadak buat sulit laku team fight padahal ping masih stabil normal tahu ini memang bug crash mungkin ada cheater orang curang cara sengaja aktif crash bug sebut saat sedang team fight mohon hal itu tidak pernah jadi kepada saya dan saya tidak alam tolong baik ya,Negatif
game nya bagus lah kasi yg adil sama tim tim musuh sama tim teman kasi yg barah gitu juga tolong benerin sistem sistem yg game kurang bagus gw lebih bagus ff di banding game,Positif
halo pihak monton hapus bug verifikasi gua gabisa login akun guaa monton di hapus bug email gua dah ilang ga dapat kode lagi di hapuss gua rawat akun dari awallll gara gara bug verifikasi ilang akun guaaa banget monton di hapuss,Negatif
beri tim tidak imbang padahal udah jago konflik antar lane player toxic jadi males main kalah turut turut buat player jadi gila tolong sistem match nya baik player solo sangat berat beri tim tidak imbang,Positif
makin sini bpk moonton makin banyak ngeluh pas matchmaking stuck belum masuk lane situ tera sinyal baik padahal mah sinyal bagus al hasil menit second baru masuk susah beda level sama lawan ku kira hp gw udh g mampu nyata banyak keluh yg rupa bahkan lebih buruk pliss lah udah lama main makin sini makin ga jelas toloooonnggggg,Negatif
gamenya keren hebat banyak hero nya multiplayer grafik nya keren skin skin partikel efek nya sangat pukau terimakasi atas buat game,Positif
jaring lancar pas main eror susah gerak season baik aja knpa pas turun season mala ngelek parah padahal jaring main game baik aja tolong moonton baik server elu klau macam yang mobile legend kaya game rusakk,Positif
game burik gk laku banyak ngebak game rusak tak yg buat nya gk tak tiba tiba macet padahal wifi kenceng trus mau login lelet nya minta ampun susah masuk ram gk kepake gk ngaruh klo mobil legend nya burik suka ngebup baru main ktmu chiter langsung games rusak turun season buka bagus ngebasmi chiter malah makin rajalela digames makin aneh aja games makin buruk,Negatif
protes tarung menguna kan hero wanwan mesti syarat nya saat menguna kan skill yg jadi kan tarung imbang sangat kecewa kan rubah atur dan di baik hero nya,Positif
matchmaking nya betulin sangat rugi player trio solo gara gabungin tim player sampah sangat rusak alam main di baik biar jadi game sampah,Netral
game udah bagus tinggal jaring ama bug nya aja padahal jaring ijo tuh tetep ngeleg gimana sih terus bug nya gak main gak mactking nya lama kan main ni game juta juta orang main ni game mohon baik,Netral
guys jangan download game kalian candu stres dunia luar lebih indah guys kalian main keliling kota sama temen kalian kenal game jujur gw pernah candu bahaya lebih bahaya banding candu nark ba jdi stop main game ini dan mulai lah hidup diluarsana,Netral
lah developer nya benerin becus masalah lag awal season habis update ping selalu ms trs saya emosi di baca developer masuk kurang masalah game mlbb,Netral
game cuma bikin orang emosi doang game bikin orang buang buang waktu game tuju hibur tetapi game hanya bikin strees main malah ketemu darksistem percuma kalau naikin rank juga pasti banyak kalah nya game juga berat tidak cocok hp ram nya kecil,Netral
udah bagus tpi tempat lane nya rusak soal nya di jadi roam saya player exp nah smntra yg exp kala gak pernah main exp cuman kali hero chou sering mid lane sama hyper jungle,Netral
game rusak niat mau nenangin pikir malah tambah emosi udah kasih tim bot tambah sinyal game ilang an pas buka game lancar aja di baik lah masalah ap kalau main sama server luar langsung merah sinyal,Negatif
maksud nya apa monton aku tadi main match menang tiba tiba hubung ulang baru selesai match nya kenapa bintang nya gk nambah kelas kan monton kalo bug hapus bug nya kalo musuh nya ngecit di tingkat aman nya tolong kembali bintang oo iya history tanding nya gk,Negatif
woi kikir baik telah update patch baru gw gk login stuck mulu tolong baik padahal update bisa aja pake paket unlimited gaming,Positif
game nya seru minimal kalo dah ls banyak kasih lah menang kalo ga berapa masa gw udh ls kali menang baru kali ama tim nya ampas bgt ama tambahin fitur buat besar map minimal ampe lah biar kaga buta map,Netral
solo player yg sabar soal macthmaking yg solo player asa adil sering tim yg lemah lawan kuat derita solo player pernah berahir wkwkwkwk menang sekali kalah kali kali kan rasa gimana gitu niat mau ngilangin stress malah nambah stress,Netral
kasi team bagus dikit knpa sih stiap gua main trus an dpt team gak jelas klw bgtu gmna crnya gua naik rank kasi team aja yg suka ngetrol afk saling bulli baik supaya main jadi beranta jadi rusak game sampe sekarang,Positif
ga recomended buat main solo ngasih tim ga pernah bener matchmaking selalu berat belah tim musuh jago tim dapet nya yang full gabisa main main rank mythic kaya rank epic kali seimbangin kalo event aja gedein bug salah jaring lag gapernah fix game rusak,Negatif
terimakasih monton cipta game sangat seru sudah turun legend epic terimakasih montoon beri tim sangat mahir main hero nya musuh mahir main hero dan saya beri bintang game dan jangan lupa buat lebih banyak game gila seperti ya montoon,Negatif
kenapa monton waktu lobby sama darfpik lancar jaya waktu main malah leg jaring nya tiba jaring jelek tiba diam pada jaring ku bagus emang gjls game mana dark sistem ny bayak bener hadehhh mending nonton kep gua kalo gin pin ms malah leg,Netral
game gj udah jaring lag game buat orang stres buat makin gila tim bot buanget musuh nya jago adil udah jaring lag buangett baik sistem nya mending hapus aja game kalo mau hapus baik jaring montoon aku stres montoon gara gara kau,Netral
game rusak main game niat mau have fun malah emosi gara gara tim gabisa ajak kerja sama tim selalu yang ga bot tim lawan selalu kuat kuat parah lose streak x kaya buang buang waktu aja lama main bergaharap menang kadang turun naik turun naik kalo kaya gitu lebih mending gamenya usah main kerna sama seperti main turun naik bintang sama kaya mula main bahkan kadang lebih turun belum,Negatif
main seru ada bug bug nya udah semua gk mainin malah tetep di situ aja baik,Negatif
woy monton ml lu kocakk masa udh ga liat skin tim sama musuh percuma dong kalo beli skin ga lihat musuh tim makanya bikin game jangan banyak aquder tambah ga jelas mana banyak yg ilang lagi flitur bagus nya game buka main bagus malah makin jelek aja aquder,Negatif
lah pihak developer baik sistem matchmaking nya masa iya sering team kurang muas lawan sangat pro banding team lemah respon baik jangan di sulit para user push solo rank tidak nya lawan team imbang tidak berat belah amat mohon di respon keluh para user game mobile legends game nya sangat muas bagus masalah sistem matchmaking tlng,Positif
layan langgan berfungis baik sering putar putar lama lapor tim suka feed afk sekarang sulit masuk layan pelanngan buruk sekali,Positif
game rusak lagi posisi mau menang ngeleg mulu itu jadi kali lebih padahal wifi lancar main game lancar kek udah atur sana nya biar aku gak menang,Negatif
bagus sih bagus pas game play nya keren terkadang even skin gratis seruh ada nya bikin stress karna apa karna pas main reng tuh kasih lose trek situ lah letak lemah game kalo gak sabar gak usah instal,Positif
gameplaynya udah bagus semua saat aku mau buka gamenya menu home bisa buka kalaupun mau main pergi playstore dulu buat buka aplikasi sinyal sering merah padahal g,Positif
login akun mooton malah suruh donload data trus suruh buat akun pdahal email kata sandi susah benar mohon solusi bantu saya login akun saya saya coba tetap tidak cuma muncul tulis akun telah kait tidak alih sekarang mohon jawab,Netral
apa game tiap awal season bawa ngelagggg terus padahal pas buka aplikasi aman aja tuh wifi emang game rusak bagai developer lu cari solusi player tiap main pingnya selalu lancar luar internetnya,Negatif
alam game sangat buruk pilih tim selalu main saya sangat kecewa game saya baru main satu tapi hasil nya sangat hancur buruk tidak di rekomendasi untuk monton di baik sistem pilih player nya jangan kasi beban palyer main serius,Negatif
game nya seru masih banyak masalah nya mau pencet maen ga pencet apa loading screen nge stuck detik terus kadang terus terus relog sendiri anggap afk cepat baik maen mlbb jadi susah padahal hp di game lebih berat gak kayak gitu walaupun patah dikit kalo di ml skill nya gak di pencet sama jaring nya hijau kalo di pencet merah karna ganggu jadi di baik,Positif
game nya seru kok tolong benerin dikit hehe pokok game moba baik aku suka game karena seru trus kadang gampang kadang susah pokok game my favorit,Positif
makin lama makin gk jelas mobille legend nya sekarang aplikasi hama ter kadang kawan kasi computer lawan nya jago mantan imortal moga mobilegend nya ter puruk makin lama minat nya sadar kalau aplikasi sekarang gk jelas langsung di hapus aplikasi nya,Netral
mobile legends rusak jringan bagus tiba lek kira emang jring gw reload eh malah gk buka ml ny loading terus gilir coba buka game laineh bagus jringan ny lngsung buka pdhl jringan bguss full mohon pihak mobile legends d baik game rusak,Negatif
gamenya sangat bagus seru sekali selalu main hari dapet teamnya hebat banget neng bangettt makasih yang udah ciptain game mobile legend tema kok hebat banget yaa selalu bantuin ambil buff main ga satu lane aja bahkan baru main mm nya langsung ambil mid waaah seruuu sekaliii,Positif
game suka ngasih kalah mending aku main game lain suka ngasih menang,Positif
alas asih bintang satu dapat tim beban saranin kalah aku nang lihat nya sebab game guna saya game kadang menang kadang kalah saya benci hal karena aku sesal tim beban bucin musuh nya sangat jago saya menang,Netral
session banyak player alami kendala main jaring stabil hero bisa gerak makin baik game game taik jaring gw pas drafpcik lancar tiba main lelet nya minta ampun,Positif
mobile legend game sangat hibur meng asyik mabar teman teman pokok mantap aja saya moga tingkat game nya,Netral
saat game play nya ga jelas tiap kali main selalu temu team draksistem entah main solo maupun duo dapet trio draksistem sering lag jaring bagus draksistem makin jadi jadi,Netral
game nya bagus cuma suka ngebug contoh jaring ijo ngeleg terus suka ngestuck pas udh nge x iklan jadi baik semua moonton kasih dong skin collector gratis hehe,Positif
game apa coba pas main selalu lag sampe gk jalan jalan padahal jaring sinyal bagus roam hp besar chipset bagus kek kentang rasa padahal dah pakek vivo x pro trus tim main kurang betul kadang disamain tim player epik beban tim dong kasih tara dalam gamenya lag ini atas,Netral
sengaja bintang biar cepet baca hallo monton telah update saya user android stuck panel login sangat lama padahal jaring bagus saat di lobby semua sangat ngelag nya salah di baik cepat,Negatif
game jelek akhir main jaring nya merah terus padahal jaring wifi lancar abistu gara jringan nya jelek saya afk malah rangin kredit score minimal jaring player lu benerin dulu sok bener ae nurunin kredit score orang,Negatif
game sdh bagus coba hal yg mlbb kasih di mode off dong jadi kayak untung banget punya barang satu kalau aku geser kartu kasih banyak aku kartu epic dan isi kasih hero bukan skin trial kalau di baca please kabul,Netral
game gajelas menang sekali kalah kali kali game adil bagi team adil contoh solo temu duo sangat jelas skali game saran jangan main game lagi bisa psikis kena stres,Negatif
dear devoloper lah ngasi tim lawan sua biar gem dapet hasil di maklumin masa dapet misi jago di tim ada aja ngetrol ga sesuai jadi kalah ga di maklumin kalo gitu ni ku kasi bintang aja dah sukur,Netral
maksudlu apa akhir season jaring lag in main brawl lancar ms scroll tiktok lancar download game emu aether lancar waktu rank malah merah sampe gabisa gerakin hero gerak dikit macet terus tiba tiba depan musuh,Negatif
belum maaf kalo emang dari hp nya aja semenjak update patch pasif hero benedetta jadi kadang macet moonton di fix kalo emang salah di gamenya thxx,Negatif
update entah jaring game jadi stabil wifi data di cek masalah main game jaring tiba tiba jadi buruk ketika main game aman aman tolong beri jelas kena jaring tidak stabil sebut,Negatif
males login makin kesini lama lama kok tim buruk sekali sangat sering gendong tim main jelas sangat imbang kek main sama computer sekarang sering sekali ketemu player baru match match ngeri kaliii main kagak jelas banget sumpah gak cl rank sama aja dibesarin event doang bikin lag,Negatif
alasanya kasih bintang satu pas main misal rank terus gak sengaja keluar pas mau login lama banget di bilang afk jadi kalau si cepat biar gak buang waktu turut saya,Negatif
buat mas moonton slot squad mobile legends maksimal ngga aja soal mungkin saya lihat tahun makin banyak orang main mobile legend jadi saya lebih kan slot squad dari aja biar makin rame squad main juga nguntungin mas moonton soal game ml jadi makin rame terima kasih,Positif
game moba paling buruk tiap main kasih tim dark sistem di kasih musuh abang abangan imo atas kecewa hal monton saya mohon untuk hilang kan dark sistem game mobile legenda,Negatif
kasih bintang game nya udah bagus ada kurang lagi war lag terus gilir mati lag padahal jaring nya full terus kasih musuh tidak padan padahal balat kaya computer semua nya di kasih musuh nya tetep bagus bagus,Netral
minta tiap akhir season belakang selalu alami freez nge stuck lobby di draf pilih emblem selalu alami ganggu cukup serius para player mlbb rasa nyaman main mohon kerjasamanya tidak ganggu bentuk apa kembali nyaman main,Negatif
biar baca klo ngasih lawan imbang dong masa lawan rank nya tinggi satu sinyal nya betulin padahal udh pake wifi sama data,Negatif
lebih parah tanding hero nya di bicara suara epek skil suara hero akan bisu udah beberapa kali unstal download tiga kali coba sama ngabisin berapa gb data copa pikir bagus game moba seperti dulu guna di era taun saya sangat kecewa,Negatif
hai moonton ingin sampai keluh kesah lama main mlbb sinyal hijau lag meski internet ada gamenya muncul afk jadi susah menang gamenya mohon baik salam hormat saya,Negatif
untuk moonton hormat bisa stop bikin skin terus baik dulu game dlu mulai jaring stabil tanding tidak imbang lain baca moonton jangan lihat aja developer kikir game rame masa gk mau benerin bug yg oiya jangan collab sama anime film kalau bug nya baik,Negatif
game apa uras kuota doang udah ku donlowad data semua malah ngulang donlowad data pas lg war lg bantu temen lord turtle ngepus turret tiba tiba sinyal nya pink padahal lg asik asiknya main sama temen malah sinyal pink padahal buat nonton nggk napa kok buat main game ml kok malah ngelag kaga jelas kalau game nya udah baik baru aku kasih bintang hari aku kasih bintang dulu,Negatif
baik lagih jaring nya suka lag tiba merah sendiri kalau war push turet kadang suka berat fremm drop moonton baik fremm drop jaring merah nya,Positif
